Frequency:3515626, start:77963156982, end:77963440930
tick count:283948, us:80767, ns:80767408
ticks/loop:283948, us/loop:80767, ns/loop:8.07674e+07
82 Locations:
[0]: r=20, c=10, cost=0
[1]: r=21, c=11, cost=1
[2]: r=22, c=10, cost=2
[3]: r=23, c=9, cost=3
[4]: r=24, c=8, cost=4
[5]: r=24, c=7, cost=5
[6]: r=24, c=6, cost=6
[7]: r=25, c=5, cost=7
[8]: r=26, c=5, cost=8
[9]: r=27, c=5, cost=9
[10]: r=28, c=6, cost=10
[11]: r=29, c=7, cost=11
[12]: r=30, c=6, cost=12
[13]: r=31, c=6, cost=13
[14]: r=32, c=7, cost=14
[15]: r=33, c=8, cost=15
[16]: r=34, c=9, cost=16
[17]: r=35, c=10, cost=17
[18]: r=36, c=11, cost=18
[19]: r=37, c=12, cost=19
[20]: r=38, c=13, cost=20
[21]: r=39, c=14, cost=21
[22]: r=40, c=13, cost=22
[23]: r=41, c=13, cost=23
[24]: r=42, c=13, cost=24
[25]: r=43, c=12, cost=25
[26]: r=44, c=12, cost=26
[27]: r=45, c=11, cost=27
[28]: r=46, c=11, cost=28
[29]: r=47, c=11, cost=29
[30]: r=48, c=11, cost=30
[31]: r=49, c=11, cost=31
[32]: r=50, c=11, cost=32
[33]: r=51, c=12, cost=33
[34]: r=52, c=13, cost=34
[35]: r=53, c=14, cost=35
[36]: r=54, c=15, cost=36
[37]: r=55, c=16, cost=37
[38]: r=55, c=17, cost=38
[39]: r=55, c=18, cost=39
[40]: r=56, c=19, cost=40
[41]: r=56, c=20, cost=41
[42]: r=56, c=21, cost=42
[43]: r=57, c=22, cost=43
[44]: r=57, c=23, cost=44
[45]: r=57, c=24, cost=45
[46]: r=57, c=25, cost=46
[47]: r=57, c=26, cost=47
[48]: r=57, c=27, cost=48
[49]: r=57, c=28, cost=49
[50]: r=56, c=29, cost=50
[51]: r=55, c=30, cost=51
[52]: r=54, c=31, cost=52
[53]: r=53, c=32, cost=53
[54]: r=52, c=33, cost=54
[55]: r=51, c=34, cost=55
[56]: r=50, c=35, cost=56
[57]: r=49, c=36, cost=57
[58]: r=48, c=36, cost=58
[59]: r=47, c=36, cost=59
[60]: r=46, c=35, cost=60
[61]: r=45, c=34, cost=61
[62]: r=44, c=34, cost=62
[63]: r=43, c=34, cost=63
[64]: r=42, c=34, cost=64
[65]: r=41, c=35, cost=65
[66]: r=40, c=35, cost=66
[67]: r=39, c=36, cost=67
[68]: r=38, c=37, cost=68
[69]: r=37, c=38, cost=69
[70]: r=36, c=39, cost=70
[71]: r=35, c=40, cost=71
[72]: r=34, c=41, cost=72
[73]: r=33, c=42, cost=73
[74]: r=32, c=42, cost=74
[75]: r=31, c=42, cost=75
[76]: r=30, c=42, cost=76
[77]: r=29, c=42, cost=77
[78]: r=28, c=42, cost=78
[79]: r=27, c=42, cost=79
[80]: r=26, c=42, cost=80
[81]: r=25, c=42, cost=81
