Frequency:3515631, start:586688185957, end:586688473617
tick count:287660, us:81823, ns:81823149
ticks/loop:287660, us/loop:81823, ns/loop:8.18231e+07
80 Locations:
[0]: r=20, c=10, cost=4294967295
[1]: r=21, c=9, cost=4294967295
[2]: r=22, c=8, cost=4294967295
[3]: r=23, c=7, cost=4294967295
[4]: r=24, c=6, cost=4294967295
[5]: r=25, c=5, cost=4294967295
[6]: r=26, c=5, cost=4294967295
[7]: r=27, c=5, cost=4294967295
[8]: r=28, c=6, cost=4294967295
[9]: r=29, c=7, cost=4294967295
[10]: r=30, c=8, cost=4294967295
[11]: r=31, c=9, cost=4294967295
[12]: r=32, c=10, cost=4294967295
[13]: r=33, c=11, cost=4294967295
[14]: r=34, c=12, cost=4294967295
[15]: r=35, c=13, cost=4294967295
[16]: r=36, c=14, cost=4294967295
[17]: r=37, c=15, cost=4294967295
[18]: r=38, c=14, cost=4294967295
[19]: r=39, c=14, cost=4294967295
[20]: r=40, c=13, cost=4294967295
[21]: r=41, c=13, cost=4294967295
[22]: r=42, c=13, cost=4294967295
[23]: r=43, c=12, cost=4294967295
[24]: r=44, c=12, cost=4294967295
[25]: r=45, c=11, cost=4294967295
[26]: r=46, c=11, cost=4294967295
[27]: r=47, c=11, cost=4294967295
[28]: r=48, c=11, cost=4294967295
[29]: r=49, c=11, cost=4294967295
[30]: r=50, c=11, cost=4294967295
[31]: r=51, c=12, cost=4294967295
[32]: r=52, c=13, cost=4294967295
[33]: r=53, c=14, cost=4294967295
[34]: r=54, c=15, cost=4294967295
[35]: r=55, c=16, cost=4294967295
[36]: r=55, c=17, cost=4294967295
[37]: r=55, c=18, cost=4294967295
[38]: r=56, c=19, cost=4294967295
[39]: r=56, c=20, cost=4294967295
[40]: r=56, c=21, cost=4294967295
[41]: r=57, c=22, cost=4294967295
[42]: r=57, c=23, cost=4294967295
[43]: r=57, c=24, cost=4294967295
[44]: r=57, c=25, cost=4294967295
[45]: r=57, c=26, cost=4294967295
[46]: r=57, c=27, cost=4294967295
[47]: r=57, c=28, cost=4294967295
[48]: r=56, c=29, cost=4294967295
[49]: r=55, c=30, cost=4294967295
[50]: r=54, c=31, cost=4294967295
[51]: r=53, c=31, cost=4294967295
[52]: r=52, c=31, cost=4294967295
[53]: r=51, c=31, cost=4294967295
[54]: r=50, c=31, cost=4294967295
[55]: r=49, c=31, cost=4294967295
[56]: r=48, c=31, cost=4294967295
[57]: r=47, c=31, cost=4294967295
[58]: r=46, c=31, cost=4294967295
[59]: r=45, c=31, cost=4294967295
[60]: r=44, c=31, cost=4294967295
[61]: r=43, c=31, cost=4294967295
[62]: r=42, c=31, cost=4294967295
[63]: r=41, c=31, cost=4294967295
[64]: r=40, c=31, cost=4294967295
[65]: r=39, c=31, cost=4294967295
[66]: r=38, c=31, cost=4294967295
[67]: r=37, c=31, cost=4294967295
[68]: r=36, c=31, cost=4294967295
[69]: r=35, c=32, cost=4294967295
[70]: r=34, c=33, cost=4294967295
[71]: r=33, c=34, cost=4294967295
[72]: r=32, c=35, cost=4294967295
[73]: r=31, c=36, cost=4294967295
[74]: r=30, c=37, cost=4294967295
[75]: r=29, c=38, cost=4294967295
[76]: r=28, c=39, cost=4294967295
[77]: r=27, c=40, cost=4294967295
[78]: r=26, c=41, cost=4294967295
[79]: r=25, c=42, cost=4294967295
