Frequency:3515631, start:606516297955, end:606516742939
tick count:444984, us:126573, ns:126573010
ticks/loop:444984, us/loop:126573, ns/loop:1.26573e+08
80 Locations:
[0]: r=20, c=10, cost=0
[1]: r=21, c=9, cost=1
[2]: r=22, c=8, cost=2
[3]: r=23, c=7, cost=3
[4]: r=24, c=6, cost=4
[5]: r=25, c=5, cost=5
[6]: r=26, c=5, cost=6
[7]: r=27, c=5, cost=7
[8]: r=28, c=6, cost=8
[9]: r=29, c=7, cost=9
[10]: r=30, c=8, cost=10
[11]: r=31, c=9, cost=11
[12]: r=32, c=10, cost=12
[13]: r=33, c=11, cost=13
[14]: r=34, c=12, cost=14
[15]: r=35, c=13, cost=15
[16]: r=36, c=14, cost=16
[17]: r=37, c=13, cost=17
[18]: r=38, c=12, cost=18
[19]: r=39, c=13, cost=19
[20]: r=40, c=12, cost=20
[21]: r=41, c=11, cost=21
[22]: r=42, c=10, cost=22
[23]: r=43, c=11, cost=23
[24]: r=44, c=11, cost=24
[25]: r=45, c=10, cost=25
[26]: r=46, c=9, cost=26
[27]: r=47, c=9, cost=27
[28]: r=48, c=10, cost=28
[29]: r=49, c=11, cost=29
[30]: r=50, c=11, cost=30
[31]: r=51, c=12, cost=31
[32]: r=52, c=13, cost=32
[33]: r=53, c=14, cost=33
[34]: r=54, c=15, cost=34
[35]: r=55, c=16, cost=35
[36]: r=55, c=17, cost=36
[37]: r=56, c=18, cost=37
[38]: r=57, c=19, cost=38
[39]: r=58, c=20, cost=39
[40]: r=59, c=21, cost=40
[41]: r=59, c=22, cost=41
[42]: r=58, c=23, cost=42
[43]: r=57, c=24, cost=43
[44]: r=58, c=25, cost=44
[45]: r=59, c=26, cost=45
[46]: r=58, c=27, cost=46
[47]: r=57, c=28, cost=47
[48]: r=56, c=29, cost=48
[49]: r=55, c=30, cost=49
[50]: r=54, c=31, cost=50
[51]: r=53, c=32, cost=51
[52]: r=52, c=33, cost=52
[53]: r=51, c=33, cost=53
[54]: r=50, c=34, cost=54
[55]: r=49, c=35, cost=55
[56]: r=48, c=36, cost=56
[57]: r=47, c=35, cost=57
[58]: r=46, c=34, cost=58
[59]: r=45, c=33, cost=59
[60]: r=44, c=34, cost=60
[61]: r=43, c=33, cost=61
[62]: r=42, c=34, cost=62
[63]: r=41, c=35, cost=63
[64]: r=40, c=35, cost=64
[65]: r=39, c=36, cost=65
[66]: r=38, c=37, cost=66
[67]: r=37, c=38, cost=67
[68]: r=36, c=39, cost=68
[69]: r=35, c=40, cost=69
[70]: r=34, c=41, cost=70
[71]: r=33, c=42, cost=71
[72]: r=32, c=43, cost=72
[73]: r=31, c=43, cost=73
[74]: r=30, c=44, cost=74
[75]: r=29, c=43, cost=75
[76]: r=28, c=42, cost=76
[77]: r=27, c=41, cost=77
[78]: r=26, c=41, cost=78
[79]: r=25, c=42, cost=79
